,Class
2998,1
2999,0
3000,1
3001,1
3002,0
3003,1
3004,0
3005,1
3006,1
3007,1
3008,0
3009,0
3010,0
3011,0
3012,0
3013,0
3014,1
3015,0
3016,1
3017,0
3018,0
3019,0
3020,1
3021,0
3022,0
3023,0
3024,1
3025,1
3026,1
3027,1
3028,1
3029,0
3030,1
3031,0
3032,0
3033,1
3034,1
3035,0
3036,1
3037,0
3038,1
3039,1
3040,1
3041,1
3042,0
3043,1
3044,1
3045,1
3046,1
3047,0
3048,1
3049,1
3050,0
3051,1
3052,1
3053,1
3054,1
3055,1
3056,0
3057,0
3058,1
3059,0
3060,1
3061,1
3062,0
3063,0
3064,1
3065,0
3066,0
3067,0
3068,0
3069,0
3070,1
3071,1
3072,0
3073,0
3074,1
3075,0
3076,1
3077,0
3078,1
3079,0
3080,1
3081,0
3082,0
3083,1
3084,1
3085,1
3086,0
3087,1
3088,0
3089,0
3090,0
3091,0
3092,0
3093,1
3094,1
3095,0
3096,0
3097,0
3098,0
3099,0
3100,1
3101,0
3102,0
3103,1
3104,0
3105,0
3106,0
3107,1
3108,0
3109,0
3110,1
3111,0
3112,1
3113,0
3114,1
3115,1
3116,0
3117,0
3118,1
3119,0
3120,1
3121,1
3122,1
3123,1
3124,0
3125,0
3126,1
3127,1
3128,1
3129,0
3130,1
3131,0
3132,1
3133,1
3134,0
3135,1
3136,1
3137,0
3138,0
3139,1
3140,1
3141,0
3142,1
3143,1
3144,1
3145,0
3146,0
3147,0
3148,0
3149,0
3150,1
3151,1
3152,1
3153,0
3154,1
3155,0
3156,0
3157,0
3158,0
3159,0
3160,0
3161,1
3162,0
3163,0
3164,0
3165,0
3166,0
3167,0
3168,0
3169,0
3170,0
3171,0
3172,0
3173,1
3174,1
3175,0
3176,0
3177,0
3178,0
3179,0
3180,1
3181,1
3182,0
3183,1
3184,0
3185,1
3186,1
3187,1
3188,0
3189,0
3190,0
3191,0
3192,0
3193,0
3194,1
3195,0
3196,0
3197,0
3198,1
3199,1
3200,1
3201,1
3202,0
3203,1
3204,1
3205,0
3206,1
3207,0
3208,1
3209,1
3210,1
3211,1
3212,0
3213,1
3214,1
3215,1
3216,1
3217,1
3218,0
3219,1
3220,0
3221,0
3222,1
3223,1
3224,0
3225,1
3226,0
3227,0
3228,1
3229,0
3230,1
3231,1
3232,0
3233,1
3234,1
3235,0
3236,0
3237,1
3238,0
3239,0
3240,1
3241,0
3242,1
3243,1
3244,1
3245,0
3246,0
3247,1
3248,1
3249,0
3250,0
3251,1
3252,1
3253,1
3254,1
3255,1
3256,0
3257,1
3258,0
3259,1
3260,1
3261,0
3262,1
3263,1
3264,1
3265,0
3266,1
3267,1
3268,0
3269,1
3270,0
3271,1
3272,1
3273,0
3274,1
3275,1
3276,1
3277,1
3278,1
3279,1
3280,0
3281,1
3282,1
3283,0
3284,1
3285,0
3286,1
3287,1
3288,1
3289,0
3290,0
3291,1
3292,1
3293,1
3294,1
3295,0
3296,0
3297,0
3298,1
3299,1
3300,0
3301,1
3302,1
3303,0
3304,0
3305,0
3306,1
3307,0
3308,0
3309,1
3310,0
3311,1
3312,0
3313,1
3314,0
3315,0
3316,1
3317,1
3318,1
3319,1
3320,0
3321,1
3322,0
3323,1
3324,0
3325,1
3326,1
3327,1
3328,0
3329,0
3330,0
3331,1
3332,0
3333,1
3334,1
3335,0
3336,0
3337,1
3338,1
3339,1
3340,1
3341,1
3342,1
3343,0
3344,0
3345,0
3346,1
3347,0
3348,1
3349,1
3350,0
3351,0
3352,1
3353,1
3354,0
3355,1
3356,1
3357,1
3358,0
3359,0
3360,1
3361,1
3362,0
3363,1
3364,1
3365,1
3366,1
3367,1
3368,1
3369,0
3370,0
3371,1
3372,0
3373,0
3374,0
3375,0
3376,1
3377,1
3378,1
3379,1
3380,1
3381,1
3382,0
3383,1
3384,0
3385,1
3386,1
3387,1
3388,0
3389,0
3390,0
3391,0
3392,1
3393,0
3394,1
3395,0
3396,0
3397,1
3398,1
3399,1
3400,0
3401,0
3402,0
3403,1
3404,0
3405,0
3406,0
3407,0
3408,0
3409,1
3410,0
3411,0
3412,1
3413,0
3414,0
3415,1
3416,0
3417,0
3418,0
3419,0
3420,0
3421,1
3422,1
3423,0
3424,0
3425,0
3426,0
3427,0
3428,0
3429,0
3430,1
3431,0
3432,1
3433,1
3434,1
3435,0
3436,0
3437,0
3438,0
3439,1
3440,1
3441,0
3442,1
3443,0
3444,1
3445,1
3446,1
3447,0
3448,0
3449,1
3450,0
3451,1
3452,1
3453,1
3454,1
3455,0
3456,0
3457,1
3458,0
3459,1
3460,0
3461,0
3462,0
3463,1
3464,1
3465,0
3466,1
3467,0
3468,1
3469,1
3470,1
3471,1
3472,0
3473,0
3474,0
3475,0
3476,0
3477,1
3478,1
3479,1
3480,1
3481,1
3482,0
3483,0
3484,1
3485,0
3486,0
3487,1
3488,1
3489,0
3490,0
3491,1
3492,0
3493,0
3494,1
3495,0
3496,1
3497,1
3498,0
3499,0
3500,1
3501,1
3502,0
3503,0
3504,0
3505,1
3506,0
3507,0
3508,0
3509,1
3510,0
3511,0
3512,1
3513,0
3514,0
3515,0
3516,1
3517,1
3518,0
3519,0
3520,1
3521,1
3522,0
3523,0
3524,1
3525,1
3526,1
3527,0
3528,1
3529,0
3530,0
3531,1
3532,1
3533,0
3534,1
3535,1
3536,1
3537,1
3538,0
3539,0
3540,0
3541,1
3542,0
3543,0
3544,1
3545,0
3546,0
3547,1
3548,0
3549,0
3550,1
3551,1
3552,0
3553,1
3554,0
3555,0
3556,0
3557,1
3558,1
3559,1
3560,1
3561,1
3562,1
3563,0
3564,1
3565,0
3566,0
3567,1
3568,0
3569,0
3570,1
3571,0
3572,1
3573,0
3574,1
3575,0
3576,1
3577,0
3578,0
3579,1
3580,0
3581,0
3582,0
3583,1
3584,1
3585,1
3586,0
3587,0
3588,1
3589,1
3590,1
3591,1
3592,1
3593,0
3594,1
3595,0
3596,0
3597,1
3598,1
3599,0
3600,0
3601,1
3602,1
3603,1
3604,1
3605,0
3606,1
3607,0
3608,1
3609,1
3610,0
3611,0
3612,0
3613,0
3614,0
3615,1
3616,1
3617,0
3618,1
3619,0
3620,0
3621,0
3622,1
3623,0
3624,0
3625,0
3626,0
3627,1
3628,0
3629,0
3630,0
3631,0
3632,0
3633,0
3634,0
3635,0
3636,0
3637,1
3638,0
3639,0
3640,1
3641,0
3642,1
3643,1
3644,1
3645,1
3646,0
3647,0
3648,0
3649,0
3650,0
3651,1
3652,0
3653,0
3654,1
3655,0
3656,0
3657,1
3658,0
3659,1
3660,1
3661,0
3662,0
3663,0
3664,0
3665,0
3666,0
3667,0
3668,0
3669,1
3670,0
3671,1
3672,0
3673,0
3674,1
3675,0
3676,0
3677,1
3678,0
3679,0
3680,1
3681,0
3682,0
3683,0
3684,0
3685,1
3686,1
3687,0
3688,1
3689,1
3690,1
3691,0
3692,1
3693,0
3694,0
3695,0
3696,1
3697,0
3698,1
3699,1
3700,0
3701,1
3702,1
3703,1
3704,0
3705,1
3706,0
3707,1
3708,1
3709,1
3710,0
3711,1
3712,0
3713,1
3714,1
3715,1
3716,0
3717,1
3718,0
3719,1
3720,1
3721,1
3722,1
3723,0
3724,0
3725,1
3726,1
3727,0
3728,0
3729,1
3730,0
3731,0
3732,0
3733,1
3734,0
3735,0
3736,1
3737,0
3738,0
3739,1
3740,0
3741,1
3742,0
3743,1
3744,1
3745,0
3746,1
3747,0
3748,1
3749,1
3750,0
3751,0
3752,0
3753,1
3754,0
3755,1
3756,0
3757,0
3758,1
3759,1
3760,0
3761,1
3762,1
3763,1
3764,1
3765,1
3766,0
3767,0
3768,1
3769,1
3770,1
3771,0
3772,1
3773,1
3774,1
3775,1
3776,0
3777,1
3778,0
3779,0
3780,1
3781,1
3782,0
3783,0
3784,0
3785,1
3786,0
3787,0
3788,1
3789,1
3790,1
3791,0
3792,0
3793,0
3794,1
3795,0
3796,0
3797,1
3798,0
3799,1
3800,1
3801,0
3802,0
3803,0
3804,0
3805,0
3806,1
3807,0
3808,1
3809,0
3810,0
3811,0
3812,1
3813,0
3814,1
3815,1
3816,0
3817,1
3818,1
3819,1
3820,1
3821,0
3822,0
3823,1
3824,0
3825,1
3826,1
3827,1
3828,0
3829,0
3830,0
3831,0
3832,1
3833,0
3834,0
3835,0
3836,0
3837,0
3838,1
3839,1
3840,1
3841,0
3842,0
3843,0
3844,0
3845,0
3846,1
3847,0
3848,0
3849,0
3850,1
3851,1
3852,0
3853,0
3854,1
3855,0
3856,1
3857,0
3858,1
3859,1
3860,1
3861,0
3862,1
3863,0
3864,1
3865,1
3866,0
3867,0
3868,1
3869,1
3870,0
3871,1
3872,0
3873,1
3874,1
3875,0
3876,0
3877,1
3878,1
3879,1
3880,1
3881,0
3882,1
3883,1
3884,0
3885,1
3886,1
3887,1
3888,0
3889,1
3890,0
3891,1
3892,1
3893,0
3894,1
3895,1
3896,1
3897,1
3898,1
3899,1
3900,0
3901,1
3902,0
3903,1
3904,0
3905,1
3906,1
3907,0
3908,1
3909,1
3910,0
3911,1
3912,0
3913,0
3914,1
3915,1
3916,0
3917,1
3918,1
3919,1
3920,1
3921,0
3922,1
3923,1
3924,1
3925,1
3926,0
3927,0
3928,0
3929,0
3930,0
3931,0
3932,1
3933,1
3934,0
3935,1
3936,0
3937,0
3938,0
3939,0
3940,1
3941,0
3942,1
3943,1
3944,1
3945,0
3946,0
3947,0
3948,1
3949,0
3950,1
3951,1
3952,0
3953,0
3954,0
3955,0
3956,0
3957,1
3958,1
3959,1
3960,0
3961,0
3962,0
3963,1
3964,0
3965,1
3966,0
3967,0
3968,0
3969,0
3970,1
3971,1
3972,1
3973,0
3974,0
3975,1
3976,0
3977,0
3978,0
3979,1
3980,1
3981,0
3982,1
3983,0
3984,0
3985,0
3986,1
3987,0
3988,1
3989,0
3990,0
3991,0
3992,0
3993,1
3994,1
3995,0
3996,0
3997,0
3998,0
3999,0
4000,1
4001,1
4002,0
4003,0
4004,0
4005,0
4006,1
4007,0
4008,0
4009,1
4010,1
4011,0
4012,0
4013,1
4014,0
4015,0
4016,0
4017,0
4018,1
4019,1
4020,0
4021,1
4022,1
4023,0
4024,0
4025,0
4026,0
4027,0
4028,0
4029,1
4030,1
4031,1
4032,0
4033,1
4034,1
4035,0
4036,0
4037,1
4038,1
4039,0
4040,0
4041,0
4042,1
4043,0
4044,0
4045,0
4046,0
4047,0
4048,0
4049,0
4050,0
4051,1
4052,0
4053,0
4054,1
4055,0
4056,1
4057,1
4058,1
4059,0
4060,1
4061,1
4062,0
4063,0
4064,1
4065,1
4066,1
4067,0
4068,0
4069,1
4070,0
4071,1
4072,0
4073,0
4074,0
4075,1
4076,0
4077,1
4078,1
4079,1
4080,0
4081,0
4082,0
4083,1
4084,0
4085,0
4086,0
4087,0
4088,1
4089,1
4090,1
4091,0
4092,1
4093,1
4094,0
4095,1
4096,0
4097,1
4098,0
4099,0
4100,0
4101,1
4102,0
4103,0
4104,1
4105,0
4106,0
4107,1
4108,0
4109,1
4110,0
4111,1
4112,0
4113,1
4114,1
4115,1
4116,0
4117,0
4118,0
4119,0
4120,1
4121,1
4122,1
4123,1
4124,0
4125,1
4126,1
4127,0
4128,1
4129,1
4130,1
4131,1
4132,0
4133,1
4134,1
4135,0
4136,1
4137,1
4138,0
4139,1
4140,1
4141,0
4142,0
4143,0
4144,1
4145,1
4146,1
4147,0
4148,1
4149,1
4150,0
4151,1
4152,0
4153,0
4154,1
4155,1
4156,1
4157,0
4158,1
4159,0
4160,0
4161,1
4162,0
4163,0
4164,0
4165,1
4166,0
4167,0
4168,0
4169,1
4170,1
4171,1
4172,1
4173,0
4174,0
4175,1
4176,1
4177,1
4178,0
4179,0
4180,0
4181,1
4182,0
4183,1
4184,0
4185,1
4186,1
4187,1
4188,0
4189,0
4190,1
4191,0
4192,1
4193,0
4194,1
4195,1
4196,1
4197,0
4198,1
4199,1
4200,1
4201,1
4202,1
4203,1
4204,1
4205,1
4206,0
4207,1
4208,1
4209,0
4210,1
4211,1
4212,1
4213,0
4214,1
4215,0
4216,1
4217,1
4218,1
4219,0
4220,0
4221,0
4222,0
4223,0
4224,0
4225,1
4226,1
4227,0
4228,0
4229,0
4230,1
4231,1
4232,1
4233,1
4234,0
4235,0
4236,1
4237,0
4238,0
4239,1
4240,1
4241,0
4242,1
4243,1
4244,0
4245,1
4246,1
4247,0
4248,1
4249,0
4250,0
4251,1
4252,1
4253,0
4254,0
4255,0
4256,1
4257,1
4258,1
4259,1
4260,1
4261,0
4262,0
4263,0
4264,0
4265,0
4266,1
4267,1
4268,1
4269,0
4270,0
4271,0
4272,0
4273,1
4274,0
4275,0
4276,0
4277,1
4278,0
4279,1
4280,0
4281,0
4282,0
4283,1
4284,1
4285,0
4286,0
4287,0
4288,1
4289,1
4290,0
4291,0
4292,0
4293,1
4294,0
4295,1
4296,0
4297,1
4298,0
4299,0
4300,0
4301,0
4302,1
4303,1
4304,1
4305,0
4306,1
4307,1
4308,0
4309,0
4310,0
4311,0
4312,1
4313,0
4314,0
4315,0
4316,0
4317,0
4318,1
4319,1
4320,1
4321,0
4322,1
4323,0
4324,1
4325,1
4326,0
4327,1
4328,0
4329,1
4330,0
4331,0
4332,1
4333,1
4334,1
4335,0
4336,1
4337,1
4338,0
4339,1
4340,0
4341,0
4342,1
4343,0
4344,1
4345,0
4346,1
4347,0
4348,0
4349,0
4350,0
4351,0
4352,1
4353,0
4354,0
4355,0
4356,1
4357,1
4358,0
4359,1
4360,1
4361,1
4362,1
4363,1
4364,1
4365,1
4366,0
4367,0
4368,0
4369,0
4370,1
4371,0
4372,1
4373,1
4374,1
4375,0
4376,1
4377,0
4378,0
4379,0
4380,0
4381,0
4382,1
4383,0
4384,0
4385,0
4386,1
4387,1
4388,0
4389,1
4390,0
4391,1
4392,0
4393,0
4394,0
4395,1
4396,1
4397,0
4398,1
4399,0
4400,1
4401,1
4402,0
4403,0
4404,1
4405,0
4406,1
4407,0
4408,1
4409,0
4410,0
4411,1
4412,1
4413,0
4414,1
4415,0
4416,0
4417,0
4418,0
4419,0
4420,1
4421,1
4422,1
4423,1
4424,0
4425,1
4426,0
4427,1
4428,1
4429,0
4430,1
4431,0
4432,0
4433,1
4434,1
4435,1
4436,0
4437,1
4438,0
4439,1
4440,0
4441,0
4442,0
4443,0
4444,0
4445,1
4446,1
4447,1
4448,0
4449,0
4450,0
4451,1
4452,1
4453,0
4454,1
4455,0
4456,1
4457,0
4458,1
4459,0
4460,0
4461,0
4462,0
4463,0
4464,0
4465,1
4466,0
4467,0
4468,0
4469,1
4470,1
4471,0
4472,0
4473,1
4474,1
4475,1
4476,1
4477,1
4478,1
4479,1
4480,0
4481,1
4482,1
4483,0
4484,1
4485,0
4486,1
4487,1
4488,0
4489,1
4490,1
4491,0
4492,0
4493,1
4494,1
4495,1
4496,0
4497,0
4498,1
4499,0
4500,0
4501,0
4502,1
4503,1
4504,0
4505,1
4506,0
4507,1
4508,0
4509,0
4510,1
4511,1
4512,1
4513,1
4514,1
4515,0
4516,0
4517,0
4518,0
4519,0
4520,1
4521,0
4522,1
4523,1
4524,0
4525,1
4526,0
4527,1
4528,0
4529,0
4530,1
4531,1
4532,1
4533,1
4534,1
4535,1
4536,0
4537,1
4538,0
4539,0
4540,0
4541,0
4542,0
4543,1
4544,0
4545,0
4546,0
4547,1
4548,1
4549,1
4550,1
4551,1
4552,0
4553,0
4554,0
4555,1
4556,0
4557,0
4558,1
4559,1
4560,1
4561,1
4562,1
4563,1
4564,1
4565,0
4566,1
4567,1
4568,0
4569,1
4570,1
4571,0
4572,1
4573,0
4574,1
4575,0
4576,1
4577,0
4578,0
4579,0
4580,0
4581,0
4582,1
4583,1
4584,0
4585,0
4586,0
4587,0
4588,0
4589,1
4590,1
4591,0
4592,1
4593,0
4594,0
4595,0
4596,0
4597,0
4598,1
4599,0
4600,0
4601,1
4602,0
4603,1
4604,0
4605,1
4606,0
4607,0
4608,0
4609,1
4610,0
4611,0
4612,0
4613,0
4614,1
4615,0
4616,1
4617,1
4618,0
4619,1
4620,1
4621,1
4622,1
4623,1
4624,0
4625,0
4626,1
4627,0
4628,1
4629,1
4630,1
4631,0
4632,0
4633,0
4634,1
4635,1
4636,0
4637,0
4638,1
4639,1
4640,0
4641,0
4642,0
4643,0
4644,1
4645,1
4646,1
4647,0
4648,0
4649,1
4650,0
4651,0
4652,1
4653,0
4654,1
4655,0
4656,0
4657,1
4658,0
4659,0
4660,0
4661,0
4662,0
4663,1
4664,0
4665,1
4666,0
4667,1
4668,0
4669,0
4670,1
4671,0
4672,1
4673,1
4674,0
4675,0
4676,1
4677,0
4678,1
4679,1
4680,0
4681,1
4682,1
4683,1
4684,0
4685,1
4686,1
4687,1
4688,0
4689,1
4690,0
4691,1
4692,1
4693,0
4694,1
4695,0
4696,0
4697,1
4698,1
4699,1
4700,1
4701,0
4702,0
4703,0
4704,0
4705,0
4706,1
4707,1
4708,0
4709,1
4710,0
4711,0
4712,1
4713,0
4714,0
4715,1
4716,1
4717,0
4718,0
4719,1
4720,0
4721,0
4722,1
4723,1
4724,0
4725,0
4726,0
4727,0
4728,1
4729,0
4730,1
4731,0
4732,1
4733,1
4734,0
4735,1
4736,0
4737,0
4738,0
4739,1
4740,0
4741,0
4742,0
4743,0
4744,0
4745,0
4746,0
4747,1
4748,1
4749,0
4750,1
4751,0
4752,1
4753,0
4754,0
4755,0
4756,1
4757,1
4758,0
4759,0
4760,0
4761,0
4762,1
4763,1
4764,1
4765,0
4766,1
4767,1
4768,1
4769,1
4770,0
4771,1
4772,0
4773,0
4774,0
4775,0
4776,0
4777,1
4778,1
4779,1
4780,0
4781,1
4782,1
4783,1
4784,0
4785,1
4786,1
4787,0
4788,1
4789,0
4790,0
4791,1
4792,1
4793,1
4794,0
4795,1
4796,0
4797,0
4798,0
4799,1
4800,0
4801,0
4802,1
4803,0
4804,0
4805,1
4806,1
4807,0
4808,1
4809,0
4810,1
4811,0
4812,1
4813,1
4814,1
4815,0
4816,0
4817,1
4818,0
4819,0
4820,1
4821,1
4822,0
4823,0
4824,0
4825,0
4826,1
4827,0
4828,1
4829,0
4830,1
4831,0
4832,0
4833,1
4834,0
4835,1
4836,1
4837,0
4838,0
4839,1
4840,1
4841,1
4842,0
4843,1
4844,1
4845,1
4846,0
4847,1
4848,1
4849,0
4850,0
4851,0
4852,1
4853,0
4854,0
4855,0
4856,0
4857,1
4858,1
4859,0
4860,1
4861,0
4862,0
4863,0
4864,0
4865,1
4866,0
4867,0
4868,0
4869,1
4870,1
4871,1
4872,1
4873,0
4874,0
4875,0
4876,1
4877,0
4878,0
4879,0
4880,1
4881,1
4882,1
4883,1
4884,0
4885,1
4886,1
4887,1
4888,0
4889,1
4890,1
4891,1
4892,0
4893,1
4894,0
4895,0
4896,1
4897,0
4898,1
4899,1
4900,0
4901,0
4902,0
4903,1
4904,0
4905,1
4906,0
4907,1
4908,0
4909,0
4910,1
4911,0
4912,1
4913,0
4914,0
4915,1
4916,0
4917,0
4918,1
4919,0
4920,1
4921,1
4922,1
4923,0
4924,0
4925,1
4926,1
4927,0
4928,1
4929,0
4930,0
4931,1
4932,1
4933,0
4934,1
4935,1
4936,1
4937,0
4938,1
4939,1
4940,1
4941,0
4942,1
4943,0
4944,1
4945,1
4946,0
4947,1
4948,1
4949,1
4950,1
4951,0
4952,1
4953,0
4954,1
4955,0
4956,1
4957,0
4958,0
4959,0
4960,1
4961,1
4962,0
4963,0
4964,1
4965,1
4966,0
4967,0
4968,0
4969,0
4970,1
4971,1
4972,0
4973,1
4974,1
4975,0
4976,1
4977,1
4978,0
4979,1
4980,0
4981,0
4982,0
4983,1
4984,0
4985,0
4986,1
4987,1
4988,0
4989,0
4990,0
4991,0
4992,1
4993,1
4994,0
4995,1
4996,1
4997,1
4998,0
4999,1
5000,1
5001,1
5002,0
5003,1
5004,1
5005,0
5006,0
5007,1
5008,0
5009,0
5010,1
5011,1
5012,0
5013,0
5014,1
5015,1
5016,0
5017,1
5018,0
5019,0
5020,0
5021,1
5022,0
5023,1
5024,1
5025,1
5026,0
5027,0
5028,0
5029,0
5030,0
5031,1
5032,0
5033,0
5034,0
5035,0
5036,0
5037,1
5038,1
5039,0
5040,1
5041,1
5042,0
5043,1
5044,0
5045,0
5046,1
5047,0
5048,0
5049,1
5050,1
5051,0
5052,0
5053,0
5054,1
5055,0
5056,1
5057,1
5058,0
5059,0
5060,0
5061,0
5062,0
5063,1
5064,1
5065,1
5066,0
5067,1
5068,1
5069,0
5070,0
5071,0
5072,1
5073,1
5074,0
5075,0
5076,0
5077,0
5078,1
5079,0
5080,0
5081,0
5082,1
5083,0
5084,1
5085,0
5086,1
5087,0
5088,0
5089,1
5090,0
5091,0
5092,0
5093,0
5094,0
5095,1
5096,0
5097,0
5098,1
5099,0
5100,0
5101,0
5102,0
5103,1
5104,1
5105,1
5106,0
5107,0
5108,0
5109,0
5110,1
5111,1
5112,1
5113,1
5114,1
5115,0
5116,0
5117,1
5118,1
5119,1
5120,1
5121,0
5122,1
5123,1
5124,0
5125,0
5126,1
5127,1
5128,0
5129,1
5130,0
5131,1
5132,1
5133,0
5134,1
5135,0
5136,1
5137,0
5138,0
5139,1
5140,1
5141,1
5142,1
5143,1
5144,1
5145,0
5146,1
5147,1
5148,0
5149,1
5150,1
5151,1
5152,1
5153,1
5154,0
5155,1
5156,1
5157,0
5158,0
5159,0
5160,1
5161,0
5162,1
5163,1
5164,1
5165,0
5166,0
5167,0
5168,0
5169,1
5170,1
5171,0
5172,1
5173,0
5174,1
5175,1
5176,0
5177,1
5178,1
5179,0
5180,1
5181,1
5182,0
5183,0
5184,1
5185,1
5186,0
5187,1
5188,1
5189,0
5190,1
5191,0
5192,1
5193,1
5194,1
5195,0
5196,1
5197,0
5198,1
5199,0
5200,1
5201,1
5202,0
5203,1
5204,0
5205,1
5206,1
5207,1
5208,0
5209,1
5210,1
5211,0
5212,0
5213,0
5214,0
5215,1
5216,1
5217,1
5218,0
5219,0
5220,1
5221,0
5222,0
5223,0
5224,0
5225,0
5226,0
5227,1
5228,1
5229,1
5230,0
5231,1
5232,1
5233,0
5234,1
5235,0
5236,0
5237,0
5238,0
5239,1
5240,1
5241,0
5242,0
5243,1
5244,0
5245,0
5246,0
5247,1
5248,0
5249,1
5250,0
5251,0
5252,0
5253,1
5254,0
5255,0
5256,0
5257,1
5258,1
5259,0
5260,0
5261,1
5262,0
5263,0
5264,0
5265,1
5266,0
5267,0
5268,0
5269,0
5270,0
5271,0
5272,1
5273,0
5274,0
5275,0
5276,0
5277,1
5278,0
5279,1
5280,1
5281,1
5282,0
5283,1
5284,0
5285,0
5286,1
5287,0
5288,0
5289,1
5290,1
5291,0
5292,1
5293,1
5294,0
5295,1
5296,1
5297,1
5298,0
5299,0
5300,0
5301,0
5302,0
5303,1
5304,1
5305,0
5306,1
5307,1
5308,0
5309,1
5310,0
5311,1
5312,0
5313,0
5314,0
5315,0
5316,0
5317,0
5318,0
5319,0
5320,0
5321,0
5322,1
5323,1
5324,0
5325,1
5326,0
5327,0
5328,0
5329,1
5330,1
5331,1
5332,1
5333,1
5334,0
5335,1
5336,1
5337,1
5338,0
5339,1
5340,0
5341,0
5342,0
5343,1
5344,1
5345,0
5346,1
5347,0
5348,0
5349,1
5350,1
5351,1
5352,0
5353,1
5354,0
5355,0
5356,1
5357,0
5358,1
5359,0
5360,1
5361,1
5362,0
5363,0
5364,1
5365,0
5366,0
5367,1
5368,1
5369,0
5370,1
5371,0
5372,1
5373,0
5374,0
5375,1
5376,0
5377,0
5378,1
5379,0
5380,1
5381,1
5382,0
5383,0
5384,1
5385,0
5386,0
5387,0
5388,0
5389,0
5390,1
5391,1
5392,0
5393,0
5394,1
5395,1
5396,0
5397,0
5398,1
5399,0
5400,1
5401,1
5402,0
5403,0
5404,0
5405,1
5406,1
5407,0
5408,1
5409,0
5410,0
5411,1
5412,0
5413,1
5414,0
5415,1
5416,1
5417,0
5418,1
5419,0
5420,0
5421,0
5422,1
5423,1
5424,1
5425,0
5426,0
5427,0
5428,1
5429,1
5430,1
5431,0
5432,0
5433,1
5434,1
5435,1
5436,1
5437,1
5438,1
5439,1
5440,0
5441,0
5442,1
5443,0
5444,0
5445,1
5446,1
5447,0
5448,0
5449,1
5450,0
5451,0
5452,1
5453,1
5454,0
5455,0
5456,1
5457,0
5458,0
5459,0
5460,0
5461,1
5462,0
5463,1
5464,1
5465,1
5466,0
5467,0
5468,1
5469,0
5470,1
5471,1
5472,1
5473,1
5474,1
5475,0
5476,0
5477,1
5478,0
5479,1
5480,1
5481,0
5482,0
5483,1
5484,1
5485,0
5486,0
5487,1
5488,0
5489,1
5490,1
5491,0
5492,0
5493,0
5494,1
5495,1
5496,0
5497,0
5498,1
5499,0
5500,1
5501,1
5502,0
5503,0
5504,0
5505,1
5506,0
5507,0
5508,0
5509,1
5510,0
5511,0
5512,0
5513,0
5514,1
5515,0
5516,0
5517,1
5518,1
5519,1
5520,0
5521,0
5522,1
5523,0
5524,1
5525,0
5526,0
5527,0
5528,1
5529,1
5530,0
5531,1
5532,0
5533,1
5534,1
5535,0
5536,0
5537,1
5538,1
5539,0
5540,1
5541,0
5542,0
5543,0
5544,1
5545,1
5546,0
5547,1
5548,0
5549,0
5550,1
5551,0
5552,0
5553,1
5554,1
5555,1
5556,0
5557,1
5558,0
5559,0
5560,1
5561,1
5562,0
5563,0
5564,1
5565,0
5566,0
5567,1
5568,0
5569,0
5570,0
5571,0
5572,0
5573,0
5574,1
5575,1
5576,0
5577,0
5578,0
5579,0
5580,1
5581,0
5582,1
5583,1
5584,0
5585,1
5586,1
5587,0
5588,0
5589,0
5590,0
5591,1
5592,0
5593,1
5594,1
5595,1
5596,0
5597,1
5598,0
5599,0
5600,1
5601,1
5602,1
5603,0
5604,1
5605,0
5606,0
5607,0
5608,1
5609,0
5610,0
5611,0
5612,1
5613,1
5614,0
5615,0
5616,0
5617,0
5618,0
5619,0
5620,1
5621,0
5622,0
5623,1
5624,1
5625,1
5626,0
5627,0
5628,1
5629,1
5630,1
5631,0
5632,1
5633,1
5634,0
5635,1
5636,1
5637,0
5638,0
5639,1
5640,1
5641,0
5642,1
5643,0
5644,1
5645,1
5646,1
5647,0
5648,0
5649,0
5650,1
5651,1
5652,0
5653,0
5654,0
5655,0
5656,1
5657,1
5658,0
5659,1
5660,0
5661,1
5662,0
5663,1
5664,1
5665,1
5666,1
5667,1
5668,0
5669,0
5670,1
5671,1
5672,0
5673,1
5674,0
5675,1
5676,1
5677,0
5678,1
5679,1
5680,1
5681,1
5682,0
5683,0
5684,1
5685,0
5686,0
5687,0
5688,1
5689,1
5690,1
5691,0
5692,1
5693,1
5694,1
5695,0
5696,1
5697,0
5698,0
5699,0
5700,0
5701,1
5702,1
5703,0
5704,1
5705,0
5706,0
5707,1
5708,1
5709,0
5710,0
5711,0
5712,0
5713,0
5714,1
5715,1
5716,0
5717,0
5718,0
5719,1
5720,0
5721,0
5722,1
5723,1
5724,0
5725,0
5726,0
5727,1
5728,0
5729,0
5730,0
5731,0
5732,0
5733,0
5734,0
5735,0
5736,0
5737,0
5738,0
5739,1
5740,0
5741,1
5742,1
5743,0
5744,0
5745,1
5746,1
5747,0
5748,1
5749,1
5750,1
5751,1
5752,1
5753,0
5754,0
5755,0
5756,1
5757,1
5758,0
5759,0
5760,1
5761,0
5762,1
5763,0
5764,1
5765,1
5766,0
5767,0
5768,0
5769,0
5770,1
5771,0
5772,1
5773,0
5774,0
5775,1
5776,0
5777,1
5778,0
5779,1
5780,1
5781,1
5782,0
5783,0
5784,1
5785,0
5786,1
5787,0
5788,0
5789,0
5790,1
5791,0
5792,0
5793,1
5794,0
5795,1
5796,1
